Temperature C         Pressure hPa        Humidity %          Date
     22,7                  98,8              31,8         2019-01-27 15:39:59
     22,7                  98,8              31,8         2019-01-27 15:40:01
     22,7                  98,8              31,8         2019-01-27 15:40:04
     22,7                  98,8              31,8         2019-01-27 15:40:07
     22,7                  98,8              31,8         2019-01-27 15:40:10
     22,7                  98,8              31,8         2019-01-27 15:40:13
     22,7                  98,8              31,8         2019-01-27 15:40:16
     22,7                  98,8              31,8         2019-01-27 15:40:19
     22,7                  98,8              31,8         2019-01-27 15:40:22
     22,7                  98,8              31,8         2019-01-27 15:40:25
     22,7                  98,8              31,8         2019-01-27 15:40:28
     22,7                  98,8              31,8         2019-01-27 15:40:31
     22,7                  98,8              31,8         2019-01-27 15:40:34
     22,7                  98,8              31,8         2019-01-27 15:40:37
     22,7                  98,8              31,8         2019-01-27 15:40:40
     22,7                  98,8              31,8         2019-01-27 15:40:43
     22,7                  98,8              31,8         2019-01-27 15:40:46
     22,7                  98,8              31,8         2019-01-27 15:40:49
     22,7                  98,8              31,8         2019-01-27 15:40:52
     22,7                  98,8              31,8         2019-01-27 15:40:55
     22,7                  98,8              31,8         2019-01-27 15:40:58
     22,7                  98,8              31,8         2019-01-27 15:41:01
     22,7                  98,8              31,8         2019-01-27 15:41:04
     22,7                  98,8              31,8         2019-01-27 15:41:07
     22,7                  98,8              31,8         2019-01-27 15:41:10
     22,7                  98,8              31,8         2019-01-27 15:41:13
     22,7                  98,8              31,8         2019-01-27 15:41:16
     22,7                  98,8              31,8         2019-01-27 15:41:19
     22,7                  98,8              31,8         2019-01-27 15:41:22
     22,7                  98,8              31,8         2019-01-27 15:41:25
     22,7                  98,8              31,8         2019-01-27 15:41:28
     22,7                  98,8              31,8         2019-01-27 15:41:31
     22,7                  98,8              31,8         2019-01-27 15:41:34
     22,7                  98,8              31,8         2019-01-27 15:41:37
     22,7                  98,8              31,8         2019-01-27 15:41:40
     22,7                  98,8              31,8         2019-01-27 15:41:43
     22,7                  98,8              31,8         2019-01-27 15:41:46
     22,7                  98,8              31,8         2019-01-27 15:41:49
     22,7                  98,8              31,8         2019-01-27 15:41:52
     22,7                  98,8              31,8         2019-01-27 15:41:55
     22,7                  98,8              31,8         2019-01-27 15:41:58
     22,7                  98,8              31,8         2019-01-27 15:42:01
     22,7                  98,8              31,8         2019-01-27 15:42:04
     22,7                  98,8              31,8         2019-01-27 15:42:07
     22,7                  98,8              31,8         2019-01-27 15:42:10
     22,7                  98,8              31,8         2019-01-27 15:42:13
     22,7                  98,8              31,8         2019-01-27 15:42:16
     22,7                  98,8              31,8         2019-01-27 15:42:19
     22,7                  98,8              31,8         2019-01-27 15:42:22
     22,7                  98,8              31,8         2019-01-27 15:42:31
     22,7                  98,8              31,8         2019-01-27 15:42:33
     22,7                  98,8              31,8         2019-01-27 15:42:36
     22,7                  98,8              31,8         2019-01-27 15:42:39
     22,7                  98,8              31,8         2019-01-27 15:42:42
     22,7                  98,8              31,8         2019-01-27 15:42:45
     22,7                  98,8              31,8         2019-01-27 15:42:48
     22,7                  98,8              31,8         2019-01-27 15:42:51
     22,7                  98,8              31,8         2019-01-27 15:42:54
     22,7                  98,8              31,8         2019-01-27 15:42:57
     22,7                  98,8              31,8         2019-01-27 15:45:19
     22,7                  98,8              31,8         2019-01-27 15:45:22
     22,7                  98,8              31,8         2019-01-27 15:45:25
     22,7                  98,8              31,8         2019-01-27 15:45:28
     22,7                  98,8              31,8         2019-01-27 15:45:31
     22,7                  98,8              31,8         2019-01-27 15:45:34
     22,7                  98,8              31,8         2019-01-27 15:45:37
     22,7                  98,8              31,8         2019-01-27 15:45:40
     22,7                  98,8              31,8         2019-01-27 15:45:43
     22,7                  98,8              31,8         2019-01-27 15:45:46
     22,7                  98,8              31,8         2019-01-27 15:45:49
     22,7                  98,8              31,8         2019-01-27 15:45:52
     22,7                  98,8              31,8         2019-01-27 15:45:55
     22,7                  98,8              31,8         2019-01-27 15:45:58
     22,7                  98,8              31,8         2019-01-27 15:46:01
     22,7                  98,8              31,8         2019-01-27 15:46:04
     22,7                  98,8              31,8         2019-01-27 15:46:07
     22,7                  98,8              31,8         2019-01-27 15:46:10
     22,7                  98,8              31,8         2019-01-27 15:46:19
     22,7                  98,8              31,8         2019-01-27 15:46:22
     22,7                  98,8              31,8         2019-01-27 15:46:25
     22,7                  98,8              31,8         2019-01-27 15:46:28
     22,7                  98,8              31,8         2019-01-27 15:49:49
     22,7                  98,8              31,8         2019-01-27 15:54:28
     22,7                  98,8              31,8         2019-01-27 15:54:28
     22,7                  98,8              31,8         2019-01-27 15:54:28
     22,7                  98,8              31,8         2019-01-27 15:54:28
     22,7                  98,8              31,8         2019-01-27 15:54:28
     22,7                  98,8              31,8         2019-01-27 15:55:44
     22,7                  98,8              31,8         2019-01-27 15:55:47
     22,7                  98,8              31,8         2019-01-27 15:56:53
     22,7                  98,8              31,8         2019-01-27 15:56:55
     22,7                  98,8              31,8         2019-01-27 15:56:58
     22,7                  98,8              31,8         2019-01-27 15:57:01
     22,7                  98,8              31,8         2019-01-27 15:57:04
     22,7                  98,8              31,8         2019-01-27 15:57:07
     22,7                  98,8              31,8         2019-01-27 15:57:10
     22,7                  98,8              31,8         2019-01-27 15:57:13
     22,7                  98,8              31,8         2019-01-27 15:57:16
     22,7                  98,8              31,8         2019-01-27 15:57:19
     22,7                  98,8              31,8         2019-01-27 15:57:22
     22,7                  98,8              31,8         2019-01-27 15:57:25
     22,7                  98,8              31,8         2019-01-27 15:57:28
     22,7                  98,8              31,8         2019-01-27 15:57:31
     22,7                  98,8              31,8         2019-01-27 15:57:34
     22,7                  98,8              31,8         2019-01-27 15:57:37
     22,7                  98,8              31,8         2019-01-27 15:57:40
     22,7                  98,8              31,8         2019-01-27 15:57:43
